record_id,qa_status,source_id,focus_agent_id,state,locale,resolution,path,reviewed_slot_1_agent,reviewed_slot_2_agent,reviewed_slot_3_agent,suggested_slot_1_agent,suggested_slot_2_agent,suggested_slot_3_agent,reviewed_unknown_flag,suggested_unknown_flag,suggested_confidence
frame-cv_recent_001-cv_recent_001_001-inrun-000462,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000462.jpg,,,,agent_nicole,agent_nicole,agent_vivian,,false,slot_1_agent:0.6309; slot_2_agent:0.4658; slot_3_agent:0.5344
frame-cv_recent_001-cv_recent_001_001-inrun-000495,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000495.jpg,,,,agent_lycaon,agent_lycaon,unknown,,false,slot_1_agent:0.579; slot_2_agent:0.6848; slot_3_agent:0.5362
frame-cv_recent_001-cv_recent_001_001-inrun-000528,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000528.jpg,,,,agent_nicole,agent_vivian,agent_vivian,,false,slot_1_agent:0.4153; slot_2_agent:0.5965; slot_3_agent:0.4811
frame-cv_recent_001-cv_recent_001_001-inrun-000561,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000561.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.55; slot_2_agent:0.6301; slot_3_agent:0.5377
frame-cv_recent_001-cv_recent_001_001-inrun-000594,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000594.jpg,,,,unknown,agent_nicole,agent_vivian,,false,slot_1_agent:0.5252; slot_2_agent:0.3403; slot_3_agent:0.6228
frame-cv_recent_001-cv_recent_001_001-inrun-000627,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000627.jpg,,,,unknown,agent_lycaon,unknown,,false,slot_1_agent:0.5493; slot_2_agent:0.4753; slot_3_agent:0.5484
frame-cv_recent_001-cv_recent_001_001-inrun-000660,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000660.jpg,,,,agent_anby,agent_lycaon,agent_vivian,,false,slot_1_agent:0.4124; slot_2_agent:0.6531; slot_3_agent:0.5779
frame-cv_recent_001-cv_recent_001_001-inrun-000693,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000693.jpg,,,,unknown,agent_lycaon,unknown,,true,slot_1_agent:0.5176; slot_2_agent:0.6366; slot_3_agent:0.2462
frame-cv_recent_001-cv_recent_001_001-inrun-000759,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000759.jpg,,,,unknown,agent_lycaon,unknown,,true,slot_1_agent:0.5499; slot_2_agent:0.5943; slot_3_agent:0.2914
frame-cv_recent_001-cv_recent_001_001-inrun-000792,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000792.jpg,,,,agent_nicole,agent_lycaon,agent_lycaon,,false,slot_1_agent:0.489; slot_2_agent:0.7167; slot_3_agent:0.5855
frame-cv_recent_001-cv_recent_001_001-inrun-000825,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000825.jpg,,,,unknown,agent_lycaon,unknown,,true,slot_1_agent:0.4324; slot_2_agent:0.5754; slot_3_agent:0.2767
frame-cv_recent_001-cv_recent_001_001-inrun-000858,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000858.jpg,,,,agent_nicole,agent_lycaon,agent_anby,,false,slot_1_agent:0.5153; slot_2_agent:0.6724; slot_3_agent:0.546
frame-cv_recent_001-cv_recent_001_001-inrun-000891,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000891.jpg,,,,agent_nicole,agent_lycaon,unknown,,false,slot_1_agent:0.605; slot_2_agent:0.659; slot_3_agent:0.549
frame-cv_recent_001-cv_recent_001_001-inrun-000924,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000924.jpg,,,,unknown,unknown,agent_anby,,false,slot_1_agent:0.5232; slot_2_agent:0.5271; slot_3_agent:0.491
frame-cv_recent_001-cv_recent_001_001-inrun-000957,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000957.jpg,,,,unknown,agent_nicole,agent_anby,,false,slot_1_agent:0.4353; slot_2_agent:0.6138; slot_3_agent:0.5471
frame-cv_recent_001-cv_recent_001_001-inrun-000990,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000990.jpg,,,,unknown,agent_nicole,agent_anby,,false,slot_1_agent:0.5392; slot_2_agent:0.5874; slot_3_agent:0.5301
frame-cv_recent_001-cv_recent_001_001-inrun-001023,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001023.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.5027; slot_2_agent:0.614; slot_3_agent:0.6822
frame-cv_recent_001-cv_recent_001_001-inrun-001188,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001188.jpg,,,,agent_nicole,agent_vivian,agent_nicole,,false,slot_1_agent:0.662; slot_2_agent:0.6562; slot_3_agent:0.5114
frame-cv_recent_001-cv_recent_001_001-inrun-001221,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001221.jpg,,,,agent_nicole,agent_nicole,agent_nicole,,false,slot_1_agent:0.6839; slot_2_agent:0.5955; slot_3_agent:0.5321
frame-cv_recent_001-cv_recent_001_001-inrun-001254,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001254.jpg,,,,agent_nicole,unknown,agent_nicole,,false,slot_1_agent:0.4619; slot_2_agent:0.5146; slot_3_agent:0.4581
frame-cv_recent_001-cv_recent_001_001-inrun-001287,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001287.jpg,,,,agent_nicole,agent_nicole,agent_vivian,,false,slot_1_agent:0.6535; slot_2_agent:0.5965; slot_3_agent:0.6118
frame-cv_recent_001-cv_recent_001_001-inrun-001320,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001320.jpg,,,,agent_nicole,agent_nicole,unknown,,false,slot_1_agent:0.3385; slot_2_agent:0.3897; slot_3_agent:0.5462
frame-cv_recent_001-cv_recent_001_001-inrun-001353,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001353.jpg,,,,unknown,unknown,agent_vivian,,false,slot_1_agent:0.5389; slot_2_agent:0.4634; slot_3_agent:0.5748
frame-cv_recent_001-cv_recent_001_001-inrun-001386,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001386.jpg,,,,agent_nicole,unknown,agent_vivian,,false,slot_1_agent:0.457; slot_2_agent:0.4834; slot_3_agent:0.5145
frame-cv_recent_001-cv_recent_001_001-inrun-001419,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001419.jpg,,,,unknown,agent_lycaon,agent_vivian,,false,slot_1_agent:0.5064; slot_2_agent:0.6535; slot_3_agent:0.5254
frame-cv_recent_001-cv_recent_001_001-inrun-001452,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001452.jpg,,,,agent_nicole,agent_lycaon,unknown,,false,slot_1_agent:0.6307; slot_2_agent:0.5317; slot_3_agent:0.4738
frame-cv_recent_001-cv_recent_001_001-inrun-001485,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001485.jpg,,,,unknown,agent_nicole,agent_nicole,,false,slot_1_agent:0.5161; slot_2_agent:0.6156; slot_3_agent:0.611
frame-cv_recent_001-cv_recent_001_001-inrun-001518,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001518.jpg,,,,unknown,agent_nicole,unknown,,false,slot_1_agent:0.5458; slot_2_agent:0.6469; slot_3_agent:0.55
frame-cv_recent_001-cv_recent_001_001-inrun-001584,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001584.jpg,,,,agent_nicole,agent_nicole,agent_vivian,,false,slot_1_agent:0.5677; slot_2_agent:0.6209; slot_3_agent:0.6126
frame-cv_recent_001-cv_recent_001_001-inrun-001617,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001617.jpg,,,,unknown,agent_lycaon,unknown,,false,slot_1_agent:0.4164; slot_2_agent:0.6304; slot_3_agent:0.5439
frame-cv_recent_001-cv_recent_001_001-inrun-001650,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001650.jpg,,,,unknown,unknown,agent_vivian,,false,slot_1_agent:0.4901; slot_2_agent:0.5478; slot_3_agent:0.5972
frame-cv_recent_001-cv_recent_001_001-inrun-001683,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001683.jpg,,,,agent_nicole,agent_nicole,agent_vivian,,false,slot_1_agent:0.6111; slot_2_agent:0.5838; slot_3_agent:0.4024
frame-cv_recent_001-cv_recent_001_001-inrun-001716,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001716.jpg,,,,unknown,agent_vivian,agent_nicole,,false,slot_1_agent:0.5286; slot_2_agent:0.6304; slot_3_agent:0.4686
frame-cv_recent_001-cv_recent_001_001-inrun-001749,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001749.jpg,,,,unknown,agent_lycaon,agent_vivian,,false,slot_1_agent:0.5005; slot_2_agent:0.4557; slot_3_agent:0.6263
frame-cv_recent_001-cv_recent_001_001-inrun-001815,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001815.jpg,,,,unknown,agent_nicole,unknown,,false,slot_1_agent:0.5406; slot_2_agent:0.5977; slot_3_agent:0.506
frame-cv_recent_001-cv_recent_001_001-inrun-001881,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001881.jpg,,,,unknown,agent_nicole,unknown,,false,slot_1_agent:0.5465; slot_2_agent:0.6386; slot_3_agent:0.5266
frame-cv_recent_001-cv_recent_001_001-inrun-001914,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001914.jpg,,,,unknown,agent_nicole,agent_vivian,,false,slot_1_agent:0.5419; slot_2_agent:0.6358; slot_3_agent:0.559
frame-cv_recent_001-cv_recent_001_001-inrun-001947,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001947.jpg,,,,agent_nicole,agent_nicole,agent_anby,,false,slot_1_agent:0.4; slot_2_agent:0.6766; slot_3_agent:0.3258
frame-cv_recent_001-cv_recent_001_001-inrun-001980,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f001980.jpg,,,,unknown,unknown,agent_nicole,,false,slot_1_agent:0.5349; slot_2_agent:0.5499; slot_3_agent:0.5747
frame-cv_recent_001-cv_recent_001_001-inrun-002013,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002013.jpg,,,,unknown,unknown,agent_vivian,,true,slot_1_agent:0.2279; slot_2_agent:0.3242; slot_3_agent:0.5415
frame-cv_recent_001-cv_recent_001_001-inrun-002046,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002046.jpg,,,,unknown,agent_vivian,unknown,,false,slot_1_agent:0.4689; slot_2_agent:0.5986; slot_3_agent:0.5417
frame-cv_recent_001-cv_recent_001_001-inrun-002112,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002112.jpg,,,,unknown,agent_lycaon,agent_vivian,,false,slot_1_agent:0.4864; slot_2_agent:0.688; slot_3_agent:0.5195
frame-cv_recent_001-cv_recent_001_001-inrun-002145,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002145.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.3704; slot_2_agent:0.4179; slot_3_agent:0.5095
frame-cv_recent_001-cv_recent_001_001-inrun-002178,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002178.jpg,,,,agent_nicole,agent_vivian,agent_nicole,,false,slot_1_agent:0.6432; slot_2_agent:0.515; slot_3_agent:0.5093
frame-cv_recent_001-cv_recent_001_001-inrun-002211,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002211.jpg,,,,agent_nicole,agent_nicole,agent_nicole,,false,slot_1_agent:0.5996; slot_2_agent:0.5606; slot_3_agent:0.505
frame-cv_recent_001-cv_recent_001_001-inrun-002244,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002244.jpg,,,,unknown,agent_lycaon,agent_nicole,,false,slot_1_agent:0.495; slot_2_agent:0.6511; slot_3_agent:0.5063
frame-cv_recent_001-cv_recent_001_001-inrun-002277,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002277.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.4231; slot_2_agent:0.6586; slot_3_agent:0.6254
frame-cv_recent_001-cv_recent_001_001-inrun-002310,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002310.jpg,,,,agent_vivian,agent_lycaon,agent_vivian,,false,slot_1_agent:0.506; slot_2_agent:0.5909; slot_3_agent:0.5364
frame-cv_recent_001-cv_recent_001_001-inrun-002343,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002343.jpg,,,,agent_vivian,agent_vivian,agent_vivian,,false,slot_1_agent:0.4738; slot_2_agent:0.5952; slot_3_agent:0.5409
frame-cv_recent_001-cv_recent_001_001-inrun-002376,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002376.jpg,,,,agent_vivian,agent_vivian,agent_vivian,,false,slot_1_agent:0.5006; slot_2_agent:0.6264; slot_3_agent:0.5808
frame-cv_recent_001-cv_recent_001_001-inrun-002409,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002409.jpg,,,,agent_anby,agent_vivian,agent_nicole,,false,slot_1_agent:0.4442; slot_2_agent:0.5698; slot_3_agent:0.5569
frame-cv_recent_001-cv_recent_001_001-inrun-002442,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002442.jpg,,,,agent_vivian,agent_vivian,agent_vivian,,false,slot_1_agent:0.4764; slot_2_agent:0.5589; slot_3_agent:0.5835
frame-cv_recent_001-cv_recent_001_001-inrun-002475,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002475.jpg,,,,agent_vivian,agent_vivian,agent_vivian,,false,slot_1_agent:0.5174; slot_2_agent:0.5686; slot_3_agent:0.6171
frame-cv_recent_001-cv_recent_001_001-inrun-002508,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002508.jpg,,,,agent_vivian,agent_vivian,agent_vivian,,false,slot_1_agent:0.4998; slot_2_agent:0.5965; slot_3_agent:0.5179
frame-cv_recent_001-cv_recent_001_001-inrun-002541,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002541.jpg,,,,agent_lycaon,agent_vivian,agent_vivian,,false,slot_1_agent:0.6435; slot_2_agent:0.5905; slot_3_agent:0.5679
frame-cv_recent_001-cv_recent_001_001-inrun-002574,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002574.jpg,,,,agent_vivian,agent_vivian,agent_vivian,,false,slot_1_agent:0.5174; slot_2_agent:0.5974; slot_3_agent:0.5164
frame-cv_recent_001-cv_recent_001_001-inrun-002607,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002607.jpg,,,,agent_nicole,agent_vivian,agent_vivian,,false,slot_1_agent:0.609; slot_2_agent:0.6233; slot_3_agent:0.6134
frame-cv_recent_001-cv_recent_001_001-inrun-002640,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002640.jpg,,,,agent_nicole,agent_vivian,agent_nicole,,false,slot_1_agent:0.6738; slot_2_agent:0.6661; slot_3_agent:0.5059
frame-cv_recent_001-cv_recent_001_001-inrun-002673,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002673.jpg,,,,agent_nicole,unknown,agent_nicole,,false,slot_1_agent:0.6944; slot_2_agent:0.5314; slot_3_agent:0.5274
frame-cv_recent_001-cv_recent_001_001-inrun-002706,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002706.jpg,,,,agent_nicole,agent_vivian,agent_nicole,,false,slot_1_agent:0.6998; slot_2_agent:0.6597; slot_3_agent:0.4957
frame-cv_recent_001-cv_recent_001_001-inrun-002739,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002739.jpg,,,,agent_nicole,agent_nicole,agent_nicole,,false,slot_1_agent:0.6328; slot_2_agent:0.5486; slot_3_agent:0.5562
frame-cv_recent_001-cv_recent_001_001-inrun-002772,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002772.jpg,,,,unknown,agent_nicole,agent_vivian,,false,slot_1_agent:0.3909; slot_2_agent:0.5137; slot_3_agent:0.5897
frame-cv_recent_001-cv_recent_001_001-inrun-002805,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002805.jpg,,,,agent_nicole,agent_nicole,agent_nicole,,false,slot_1_agent:0.5027; slot_2_agent:0.5322; slot_3_agent:0.625
frame-cv_recent_001-cv_recent_001_001-inrun-002838,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002838.jpg,,,,agent_nicole,unknown,agent_nicole,,false,slot_1_agent:0.5546; slot_2_agent:0.5381; slot_3_agent:0.6561
frame-cv_recent_001-cv_recent_001_001-inrun-002904,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002904.jpg,,,,unknown,unknown,agent_vivian,,false,slot_1_agent:0.5495; slot_2_agent:0.5121; slot_3_agent:0.5804
frame-cv_recent_001-cv_recent_001_001-inrun-002937,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002937.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.5449; slot_2_agent:0.588; slot_3_agent:0.541
frame-cv_recent_001-cv_recent_001_001-inrun-002970,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f002970.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.4567; slot_2_agent:0.5503; slot_3_agent:0.5873
frame-cv_recent_001-cv_recent_001_001-inrun-003003,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f003003.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.5495; slot_2_agent:0.5287; slot_3_agent:0.5108
frame-cv_recent_001-cv_recent_001_001-inrun-003036,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f003036.jpg,,,,unknown,unknown,agent_vivian,,true,slot_1_agent:0.5498; slot_2_agent:0.2824; slot_3_agent:0.6724
frame-cv_recent_001-cv_recent_001_001-inrun-003069,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f003069.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.549; slot_2_agent:0.3072; slot_3_agent:0.7086
frame-cv_recent_001-cv_recent_001_001-inrun-003102,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f003102.jpg,,,,unknown,agent_vivian,agent_vivian,,false,slot_1_agent:0.5496; slot_2_agent:0.6437; slot_3_agent:0.6112
